simple_date,year,steps,mins_asleep,efficiency
2013-02-16,2013,10660,427,81
2013-02-17,2013,17976,444,85
2013-02-18,2013,18412,407,81
2013-02-19,2013,14728,447,85
2013-02-20,2013,17473,429,84
2013-02-21,2013,15841,407,85
2013-02-22,2013,19280,379,79
2013-02-23,2013,17207,406,80
2013-02-24,2013,21297,377,81
2013-02-25,2013,20232,416,83
2013-02-26,2013,23086,452,90
2013-02-27,2013,21316,396,83
2013-02-28,2013,18291,369,71
2013-03-01,2013,20325,386,80
2013-03-02,2013,8966,349,77
2013-03-03,2013,20472,494,91
2013-03-04,2013,21389,399,72
2013-03-05,2013,17255,402,77
2013-03-06,2013,19390,330,81
2013-03-07,2013,15384,407,73
2013-03-08,2013,22240,457,87
2013-03-10,2013,14591,355,81
2013-03-11,2013,16115,398,81
2013-03-11,2013,16115,398,81
2013-03-12,2013,17403,435,85
2013-03-13,2013,15240,383,73
2013-03-14,2013,18248,422,85
2013-03-15,2013,12617,387,80
2013-03-16,2013,19186,380,72
2013-03-18,2013,18303,360,82
2013-03-19,2013,23296,415,77
2013-03-20,2013,21306,412,89
2013-03-21,2013,16741,337,74
2013-03-22,2013,10701,372,79
2013-03-23,2013,18273,273,76
2013-03-25,2013,16410,408,80
2013-03-26,2013,19319,393,79
2013-03-27,2013,20102,462,88
2013-03-28,2013,13063,442,85
2013-03-29,2013,18841,486,88
2013-03-30,2013,22361,327,74
2013-03-31,2013,19027,424,83
2013-04-01,2013,23656,449,80
2013-04-02,2013,8861,376,79
2013-04-03,2013,20958,407,81
2013-04-04,2013,20996,432,91
2013-04-05,2013,19093,384,88
2013-04-06,2013,19032,423,88
2013-04-07,2013,17648,359,81
2013-04-08,2013,20877,271,85
2013-04-10,2013,22874,339,83
2013-04-10,2013,22874,339,83
2013-04-11,2013,17881,346,77
2013-04-12,2013,18305,277,79
2013-04-14,2013,23456,423,72
2013-04-16,2013,21498,421,85
2013-04-17,2013,17568,375,69
2013-04-20,2013,8856,368,84
2013-04-22,2013,19707,425,80
2013-04-23,2013,21050,399,77
2013-04-24,2013,16504,354,79
2013-04-27,2013,9934,352,74
2013-04-28,2013,27063,454,85
2013-04-29,2013,21389,417,76
2013-04-30,2013,18905,375,73
2013-05-01,2013,21681,361,79
2013-05-03,2013,8660,277,62
2013-05-04,2013,21321,371,85
2013-05-05,2013,24541,382,75
2013-05-06,2013,21644,412,83
2013-05-07,2013,18662,415,84
2013-05-14,2013,18501,426,88
2013-05-15,2013,9296,459,88
2013-05-16,2013,21480,396,80
2013-05-17,2013,24008,355,81
2013-05-18,2013,18516,419,79
2013-05-19,2013,14215,332,86
2013-05-20,2013,18545,390,84
2013-05-21,2013,7870,376,91
2013-05-22,2013,21931,361,90
2013-05-23,2013,28703,352,88
2013-05-24,2013,27214,308,80
2013-05-26,2013,18014,312,94
2013-05-27,2013,14613,455,83
2013-05-28,2013,18432,396,75
2013-05-29,2013,17468,351,65
2013-05-30,2013,8960,418,80
2013-05-31,2013,19518,363,77
2013-06-01,2013,18923,312,70
2013-06-03,2013,20755,352,73
2013-06-04,2013,12341,393,75
